Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,26.97,50,100,0.01,16,CIFAR10,5424.15
2,35.07,50,100,0.01,16,CIFAR10,5424.15
3,39.57,50,100,0.01,16,CIFAR10,5424.15
4,42.63,50,100,0.01,16,CIFAR10,5424.15
5,45.45,50,100,0.01,16,CIFAR10,5424.15
6,48.13,50,100,0.01,16,CIFAR10,5424.15
7,49.67,50,100,0.01,16,CIFAR10,5424.15
8,51.59,50,100,0.01,16,CIFAR10,5424.15
9,53.08,50,100,0.01,16,CIFAR10,5424.15
10,54.08,50,100,0.01,16,CIFAR10,5424.15
11,55.05,50,100,0.01,16,CIFAR10,5424.15
12,56.09,50,100,0.01,16,CIFAR10,5424.15
13,57.06,50,100,0.01,16,CIFAR10,5424.15
14,57.62,50,100,0.01,16,CIFAR10,5424.15
15,58.28,50,100,0.01,16,CIFAR10,5424.15
16,59.04,50,100,0.01,16,CIFAR10,5424.15
17,59.65,50,100,0.01,16,CIFAR10,5424.15
18,60.47,50,100,0.01,16,CIFAR10,5424.15
19,61.05,50,100,0.01,16,CIFAR10,5424.15
20,61.41,50,100,0.01,16,CIFAR10,5424.15
21,61.74,50,100,0.01,16,CIFAR10,5424.15
22,62.28,50,100,0.01,16,CIFAR10,5424.15
23,62.81,50,100,0.01,16,CIFAR10,5424.15
24,62.92,50,100,0.01,16,CIFAR10,5424.15
25,63.27,50,100,0.01,16,CIFAR10,5424.15
26,63.28,50,100,0.01,16,CIFAR10,5424.15
27,63.72,50,100,0.01,16,CIFAR10,5424.15
28,64.02,50,100,0.01,16,CIFAR10,5424.15
29,64.03,50,100,0.01,16,CIFAR10,5424.15
30,64.53,50,100,0.01,16,CIFAR10,5424.15
31,64.71,50,100,0.01,16,CIFAR10,5424.15
32,64.68,50,100,0.01,16,CIFAR10,5424.15
33,64.99,50,100,0.01,16,CIFAR10,5424.15
34,65.08,50,100,0.01,16,CIFAR10,5424.15
35,65.35,50,100,0.01,16,CIFAR10,5424.15
36,65.49,50,100,0.01,16,CIFAR10,5424.15
37,65.68,50,100,0.01,16,CIFAR10,5424.15
38,65.71,50,100,0.01,16,CIFAR10,5424.15
39,66.05,50,100,0.01,16,CIFAR10,5424.15
40,65.96,50,100,0.01,16,CIFAR10,5424.15
41,66.03,50,100,0.01,16,CIFAR10,5424.15
42,66.18,50,100,0.01,16,CIFAR10,5424.15
43,66.37,50,100,0.01,16,CIFAR10,5424.15
44,66.47,50,100,0.01,16,CIFAR10,5424.15
45,66.58,50,100,0.01,16,CIFAR10,5424.15
46,66.82,50,100,0.01,16,CIFAR10,5424.15
47,66.79,50,100,0.01,16,CIFAR10,5424.15
48,66.92,50,100,0.01,16,CIFAR10,5424.15
49,67.02,50,100,0.01,16,CIFAR10,5424.15
50,67.06,50,100,0.01,16,CIFAR10,5424.15
51,67.27,50,100,0.01,16,CIFAR10,5424.15
52,67.16,50,100,0.01,16,CIFAR10,5424.15
53,67.26,50,100,0.01,16,CIFAR10,5424.15
54,67.25,50,100,0.01,16,CIFAR10,5424.15
55,67.48,50,100,0.01,16,CIFAR10,5424.15
56,67.53,50,100,0.01,16,CIFAR10,5424.15
57,67.66,50,100,0.01,16,CIFAR10,5424.15
58,67.59,50,100,0.01,16,CIFAR10,5424.15
59,67.49,50,100,0.01,16,CIFAR10,5424.15
