Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,12.42,500,50,0.01,16,CIFAR10,2896.57
2,11.78,500,50,0.01,16,CIFAR10,2896.57
3,14.24,500,50,0.01,16,CIFAR10,2896.57
4,20.4,500,50,0.01,16,CIFAR10,2896.57
5,25.23,500,50,0.01,16,CIFAR10,2896.57
6,27.14,500,50,0.01,16,CIFAR10,2896.57
7,28.17,500,50,0.01,16,CIFAR10,2896.57
8,28.93,500,50,0.01,16,CIFAR10,2896.57
9,29.66,500,50,0.01,16,CIFAR10,2896.57
10,30.57,500,50,0.01,16,CIFAR10,2896.57
11,31.49,500,50,0.01,16,CIFAR10,2896.57
12,32.37,500,50,0.01,16,CIFAR10,2896.57
13,33.24,500,50,0.01,16,CIFAR10,2896.57
14,34.07,500,50,0.01,16,CIFAR10,2896.57
15,35.19,500,50,0.01,16,CIFAR10,2896.57
16,35.48,500,50,0.01,16,CIFAR10,2896.57
17,35.84,500,50,0.01,16,CIFAR10,2896.57
18,36.69,500,50,0.01,16,CIFAR10,2896.57
19,37.01,500,50,0.01,16,CIFAR10,2896.57
20,37.8,500,50,0.01,16,CIFAR10,2896.57
21,38.2,500,50,0.01,16,CIFAR10,2896.57
22,38.47,500,50,0.01,16,CIFAR10,2896.57
23,38.95,500,50,0.01,16,CIFAR10,2896.57
24,39.14,500,50,0.01,16,CIFAR10,2896.57
25,39.51,500,50,0.01,16,CIFAR10,2896.57
26,39.8,500,50,0.01,16,CIFAR10,2896.57
27,40.3,500,50,0.01,16,CIFAR10,2896.57
28,40.38,500,50,0.01,16,CIFAR10,2896.57
29,40.84,500,50,0.01,16,CIFAR10,2896.57
30,41.28,500,50,0.01,16,CIFAR10,2896.57
31,41.38,500,50,0.01,16,CIFAR10,2896.57
32,41.83,500,50,0.01,16,CIFAR10,2896.57
33,42.12,500,50,0.01,16,CIFAR10,2896.57
34,42.54,500,50,0.01,16,CIFAR10,2896.57
35,42.58,500,50,0.01,16,CIFAR10,2896.57
36,43.17,500,50,0.01,16,CIFAR10,2896.57
37,43.4,500,50,0.01,16,CIFAR10,2896.57
38,43.6,500,50,0.01,16,CIFAR10,2896.57
39,44.08,500,50,0.01,16,CIFAR10,2896.57
40,44.27,500,50,0.01,16,CIFAR10,2896.57
41,44.7,500,50,0.01,16,CIFAR10,2896.57
42,44.98,500,50,0.01,16,CIFAR10,2896.57
43,45.4,500,50,0.01,16,CIFAR10,2896.57
44,45.55,500,50,0.01,16,CIFAR10,2896.57
45,45.85,500,50,0.01,16,CIFAR10,2896.57
46,46.11,500,50,0.01,16,CIFAR10,2896.57
47,46.39,500,50,0.01,16,CIFAR10,2896.57
48,46.69,500,50,0.01,16,CIFAR10,2896.57
49,46.89,500,50,0.01,16,CIFAR10,2896.57
50,46.95,500,50,0.01,16,CIFAR10,2896.57
