Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,27.72,50,500,0.01,16,CIFAR10,26913.19
2,34.34,50,500,0.01,16,CIFAR10,26913.19
3,39.14,50,500,0.01,16,CIFAR10,26913.19
4,42.81,50,500,0.01,16,CIFAR10,26913.19
5,45.8,50,500,0.01,16,CIFAR10,26913.19
6,48.25,50,500,0.01,16,CIFAR10,26913.19
7,50.38,50,500,0.01,16,CIFAR10,26913.19
8,51.62,50,500,0.01,16,CIFAR10,26913.19
9,52.78,50,500,0.01,16,CIFAR10,26913.19
10,54.01,50,500,0.01,16,CIFAR10,26913.19
11,55.08,50,500,0.01,16,CIFAR10,26913.19
12,55.66,50,500,0.01,16,CIFAR10,26913.19
13,56.66,50,500,0.01,16,CIFAR10,26913.19
14,57.93,50,500,0.01,16,CIFAR10,26913.19
15,58.27,50,500,0.01,16,CIFAR10,26913.19
16,59.1,50,500,0.01,16,CIFAR10,26913.19
17,59.92,50,500,0.01,16,CIFAR10,26913.19
18,60.35,50,500,0.01,16,CIFAR10,26913.19
19,60.99,50,500,0.01,16,CIFAR10,26913.19
20,61.38,50,500,0.01,16,CIFAR10,26913.19
21,61.97,50,500,0.01,16,CIFAR10,26913.19
22,62.15,50,500,0.01,16,CIFAR10,26913.19
23,62.8,50,500,0.01,16,CIFAR10,26913.19
24,62.98,50,500,0.01,16,CIFAR10,26913.19
25,63.46,50,500,0.01,16,CIFAR10,26913.19
26,63.82,50,500,0.01,16,CIFAR10,26913.19
27,64.04,50,500,0.01,16,CIFAR10,26913.19
28,64.51,50,500,0.01,16,CIFAR10,26913.19
29,64.74,50,500,0.01,16,CIFAR10,26913.19
30,65.06,50,500,0.01,16,CIFAR10,26913.19
31,65.07,50,500,0.01,16,CIFAR10,26913.19
32,65.35,50,500,0.01,16,CIFAR10,26913.19
33,65.27,50,500,0.01,16,CIFAR10,26913.19
34,65.56,50,500,0.01,16,CIFAR10,26913.19
35,65.64,50,500,0.01,16,CIFAR10,26913.19
36,65.87,50,500,0.01,16,CIFAR10,26913.19
37,66.18,50,500,0.01,16,CIFAR10,26913.19
38,66.1,50,500,0.01,16,CIFAR10,26913.19
39,66.38,50,500,0.01,16,CIFAR10,26913.19
40,66.34,50,500,0.01,16,CIFAR10,26913.19
41,66.42,50,500,0.01,16,CIFAR10,26913.19
42,66.57,50,500,0.01,16,CIFAR10,26913.19
43,66.62,50,500,0.01,16,CIFAR10,26913.19
44,66.8,50,500,0.01,16,CIFAR10,26913.19
45,66.87,50,500,0.01,16,CIFAR10,26913.19
46,67.25,50,500,0.01,16,CIFAR10,26913.19
47,67.16,50,500,0.01,16,CIFAR10,26913.19
48,67.24,50,500,0.01,16,CIFAR10,26913.19
49,67.29,50,500,0.01,16,CIFAR10,26913.19
50,67.09,50,500,0.01,16,CIFAR10,26913.19
51,67.21,50,500,0.01,16,CIFAR10,26913.19
52,67.38,50,500,0.01,16,CIFAR10,26913.19
53,67.31,50,500,0.01,16,CIFAR10,26913.19
54,67.48,50,500,0.01,16,CIFAR10,26913.19
55,67.58,50,500,0.01,16,CIFAR10,26913.19
56,67.68,50,500,0.01,16,CIFAR10,26913.19
57,67.63,50,500,0.01,16,CIFAR10,26913.19
58,67.64,50,500,0.01,16,CIFAR10,26913.19
59,67.71,50,500,0.01,16,CIFAR10,26913.19
60,67.83,50,500,0.01,16,CIFAR10,26913.19
61,67.8,50,500,0.01,16,CIFAR10,26913.19
62,67.89,50,500,0.01,16,CIFAR10,26913.19
63,67.95,50,500,0.01,16,CIFAR10,26913.19
64,67.69,50,500,0.01,16,CIFAR10,26913.19
65,67.96,50,500,0.01,16,CIFAR10,26913.19
66,67.99,50,500,0.01,16,CIFAR10,26913.19
67,68.01,50,500,0.01,16,CIFAR10,26913.19
68,67.79,50,500,0.01,16,CIFAR10,26913.19
69,67.91,50,500,0.01,16,CIFAR10,26913.19
70,67.91,50,500,0.01,16,CIFAR10,26913.19
71,68.04,50,500,0.01,16,CIFAR10,26913.19
72,68.01,50,500,0.01,16,CIFAR10,26913.19
73,68.02,50,500,0.01,16,CIFAR10,26913.19
74,68.01,50,500,0.01,16,CIFAR10,26913.19
75,67.94,50,500,0.01,16,CIFAR10,26913.19
76,67.83,50,500,0.01,16,CIFAR10,26913.19
77,67.93,50,500,0.01,16,CIFAR10,26913.19
78,67.88,50,500,0.01,16,CIFAR10,26913.19
79,67.88,50,500,0.01,16,CIFAR10,26913.19
80,67.88,50,500,0.01,16,CIFAR10,26913.19
81,67.74,50,500,0.01,16,CIFAR10,26913.19
82,67.89,50,500,0.01,16,CIFAR10,26913.19
83,67.94,50,500,0.01,16,CIFAR10,26913.19
84,67.83,50,500,0.01,16,CIFAR10,26913.19
85,67.81,50,500,0.01,16,CIFAR10,26913.19
86,67.86,50,500,0.01,16,CIFAR10,26913.19
87,67.88,50,500,0.01,16,CIFAR10,26913.19
88,67.74,50,500,0.01,16,CIFAR10,26913.19
89,67.8,50,500,0.01,16,CIFAR10,26913.19
90,67.8,50,500,0.01,16,CIFAR10,26913.19
91,67.92,50,500,0.01,16,CIFAR10,26913.19
92,67.87,50,500,0.01,16,CIFAR10,26913.19
93,67.8,50,500,0.01,16,CIFAR10,26913.19
94,67.75,50,500,0.01,16,CIFAR10,26913.19
95,67.89,50,500,0.01,16,CIFAR10,26913.19
96,67.72,50,500,0.01,16,CIFAR10,26913.19
97,67.68,50,500,0.01,16,CIFAR10,26913.19
98,67.82,50,500,0.01,16,CIFAR10,26913.19
99,67.86,50,500,0.01,16,CIFAR10,26913.19
100,67.85,50,500,0.01,16,CIFAR10,26913.19
101,67.83,50,500,0.01,16,CIFAR10,26913.19
102,67.87,50,500,0.01,16,CIFAR10,26913.19
103,67.79,50,500,0.01,16,CIFAR10,26913.19
104,67.79,50,500,0.01,16,CIFAR10,26913.19
105,67.81,50,500,0.01,16,CIFAR10,26913.19
106,67.77,50,500,0.01,16,CIFAR10,26913.19
107,67.82,50,500,0.01,16,CIFAR10,26913.19
108,67.86,50,500,0.01,16,CIFAR10,26913.19
109,67.97,50,500,0.01,16,CIFAR10,26913.19
110,67.92,50,500,0.01,16,CIFAR10,26913.19
111,67.82,50,500,0.01,16,CIFAR10,26913.19
112,67.88,50,500,0.01,16,CIFAR10,26913.19
113,67.78,50,500,0.01,16,CIFAR10,26913.19
114,67.79,50,500,0.01,16,CIFAR10,26913.19
115,67.77,50,500,0.01,16,CIFAR10,26913.19
116,67.88,50,500,0.01,16,CIFAR10,26913.19
117,67.85,50,500,0.01,16,CIFAR10,26913.19
118,67.92,50,500,0.01,16,CIFAR10,26913.19
119,67.87,50,500,0.01,16,CIFAR10,26913.19
120,67.87,50,500,0.01,16,CIFAR10,26913.19
121,67.89,50,500,0.01,16,CIFAR10,26913.19
122,67.87,50,500,0.01,16,CIFAR10,26913.19
123,67.78,50,500,0.01,16,CIFAR10,26913.19
124,67.84,50,500,0.01,16,CIFAR10,26913.19
125,67.83,50,500,0.01,16,CIFAR10,26913.19
126,67.86,50,500,0.01,16,CIFAR10,26913.19
127,67.85,50,500,0.01,16,CIFAR10,26913.19
128,67.73,50,500,0.01,16,CIFAR10,26913.19
129,67.78,50,500,0.01,16,CIFAR10,26913.19
130,67.74,50,500,0.01,16,CIFAR10,26913.19
131,67.85,50,500,0.01,16,CIFAR10,26913.19
132,67.93,50,500,0.01,16,CIFAR10,26913.19
133,67.94,50,500,0.01,16,CIFAR10,26913.19
134,67.84,50,500,0.01,16,CIFAR10,26913.19
135,67.94,50,500,0.01,16,CIFAR10,26913.19
136,67.82,50,500,0.01,16,CIFAR10,26913.19
137,67.67,50,500,0.01,16,CIFAR10,26913.19
138,67.73,50,500,0.01,16,CIFAR10,26913.19
139,67.66,50,500,0.01,16,CIFAR10,26913.19
140,67.77,50,500,0.01,16,CIFAR10,26913.19
141,67.76,50,500,0.01,16,CIFAR10,26913.19
142,67.78,50,500,0.01,16,CIFAR10,26913.19
143,67.67,50,500,0.01,16,CIFAR10,26913.19
144,67.73,50,500,0.01,16,CIFAR10,26913.19
145,67.64,50,500,0.01,16,CIFAR10,26913.19
146,67.68,50,500,0.01,16,CIFAR10,26913.19
147,67.62,50,500,0.01,16,CIFAR10,26913.19
148,67.75,50,500,0.01,16,CIFAR10,26913.19
149,67.68,50,500,0.01,16,CIFAR10,26913.19
150,67.64,50,500,0.01,16,CIFAR10,26913.19
151,67.61,50,500,0.01,16,CIFAR10,26913.19
152,67.54,50,500,0.01,16,CIFAR10,26913.19
153,67.61,50,500,0.01,16,CIFAR10,26913.19
154,67.51,50,500,0.01,16,CIFAR10,26913.19
155,67.6,50,500,0.01,16,CIFAR10,26913.19
156,67.68,50,500,0.01,16,CIFAR10,26913.19
157,67.63,50,500,0.01,16,CIFAR10,26913.19
158,67.52,50,500,0.01,16,CIFAR10,26913.19
159,67.54,50,500,0.01,16,CIFAR10,26913.19
160,67.68,50,500,0.01,16,CIFAR10,26913.19
161,67.66,50,500,0.01,16,CIFAR10,26913.19
162,67.58,50,500,0.01,16,CIFAR10,26913.19
163,67.59,50,500,0.01,16,CIFAR10,26913.19
164,67.54,50,500,0.01,16,CIFAR10,26913.19
165,67.43,50,500,0.01,16,CIFAR10,26913.19
166,67.51,50,500,0.01,16,CIFAR10,26913.19
167,67.46,50,500,0.01,16,CIFAR10,26913.19
168,67.53,50,500,0.01,16,CIFAR10,26913.19
169,67.55,50,500,0.01,16,CIFAR10,26913.19
170,67.48,50,500,0.01,16,CIFAR10,26913.19
171,67.53,50,500,0.01,16,CIFAR10,26913.19
172,67.45,50,500,0.01,16,CIFAR10,26913.19
173,67.57,50,500,0.01,16,CIFAR10,26913.19
174,67.42,50,500,0.01,16,CIFAR10,26913.19
175,67.35,50,500,0.01,16,CIFAR10,26913.19
176,67.56,50,500,0.01,16,CIFAR10,26913.19
177,67.59,50,500,0.01,16,CIFAR10,26913.19
178,67.5,50,500,0.01,16,CIFAR10,26913.19
179,67.56,50,500,0.01,16,CIFAR10,26913.19
