Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,22.44,100,50,0.01,16,CIFAR10,2682.58
2,27.26,100,50,0.01,16,CIFAR10,2682.58
3,31.15,100,50,0.01,16,CIFAR10,2682.58
4,34.6,100,50,0.01,16,CIFAR10,2682.58
5,38.05,100,50,0.01,16,CIFAR10,2682.58
6,39.65,100,50,0.01,16,CIFAR10,2682.58
7,41.65,100,50,0.01,16,CIFAR10,2682.58
8,43.29,100,50,0.01,16,CIFAR10,2682.58
9,44.9,100,50,0.01,16,CIFAR10,2682.58
10,46.25,100,50,0.01,16,CIFAR10,2682.58
11,47.44,100,50,0.01,16,CIFAR10,2682.58
12,48.6,100,50,0.01,16,CIFAR10,2682.58
13,49.04,100,50,0.01,16,CIFAR10,2682.58
14,49.93,100,50,0.01,16,CIFAR10,2682.58
15,51.11,100,50,0.01,16,CIFAR10,2682.58
16,51.62,100,50,0.01,16,CIFAR10,2682.58
17,52.26,100,50,0.01,16,CIFAR10,2682.58
18,52.97,100,50,0.01,16,CIFAR10,2682.58
19,53.54,100,50,0.01,16,CIFAR10,2682.58
20,54.18,100,50,0.01,16,CIFAR10,2682.58
21,54.81,100,50,0.01,16,CIFAR10,2682.58
22,55.22,100,50,0.01,16,CIFAR10,2682.58
23,55.66,100,50,0.01,16,CIFAR10,2682.58
24,56.14,100,50,0.01,16,CIFAR10,2682.58
25,56.62,100,50,0.01,16,CIFAR10,2682.58
26,56.66,100,50,0.01,16,CIFAR10,2682.58
27,57.2,100,50,0.01,16,CIFAR10,2682.58
28,57.56,100,50,0.01,16,CIFAR10,2682.58
29,58.1,100,50,0.01,16,CIFAR10,2682.58
30,58.41,100,50,0.01,16,CIFAR10,2682.58
31,58.92,100,50,0.01,16,CIFAR10,2682.58
32,59.19,100,50,0.01,16,CIFAR10,2682.58
33,59.53,100,50,0.01,16,CIFAR10,2682.58
34,59.68,100,50,0.01,16,CIFAR10,2682.58
35,59.93,100,50,0.01,16,CIFAR10,2682.58
36,60.16,100,50,0.01,16,CIFAR10,2682.58
37,60.4,100,50,0.01,16,CIFAR10,2682.58
38,60.57,100,50,0.01,16,CIFAR10,2682.58
39,60.94,100,50,0.01,16,CIFAR10,2682.58
40,61.02,100,50,0.01,16,CIFAR10,2682.58
41,61.37,100,50,0.01,16,CIFAR10,2682.58
42,61.63,100,50,0.01,16,CIFAR10,2682.58
43,61.58,100,50,0.01,16,CIFAR10,2682.58
44,61.79,100,50,0.01,16,CIFAR10,2682.58
45,62.18,100,50,0.01,16,CIFAR10,2682.58
46,62.14,100,50,0.01,16,CIFAR10,2682.58
47,62.55,100,50,0.01,16,CIFAR10,2682.58
48,62.61,100,50,0.01,16,CIFAR10,2682.58
49,62.7,100,50,0.01,16,CIFAR10,2682.58
50,63.03,100,50,0.01,16,CIFAR10,2682.58
