Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,10.49,1000,50,0.01,16,CIFAR10,3091.82
2,12.0,1000,50,0.01,16,CIFAR10,3091.82
3,13.46,1000,50,0.01,16,CIFAR10,3091.82
4,16.14,1000,50,0.01,16,CIFAR10,3091.82
5,18.59,1000,50,0.01,16,CIFAR10,3091.82
6,20.83,1000,50,0.01,16,CIFAR10,3091.82
7,22.35,1000,50,0.01,16,CIFAR10,3091.82
8,23.28,1000,50,0.01,16,CIFAR10,3091.82
9,24.18,1000,50,0.01,16,CIFAR10,3091.82
10,25.28,1000,50,0.01,16,CIFAR10,3091.82
11,25.7,1000,50,0.01,16,CIFAR10,3091.82
12,26.31,1000,50,0.01,16,CIFAR10,3091.82
13,27.0,1000,50,0.01,16,CIFAR10,3091.82
14,27.19,1000,50,0.01,16,CIFAR10,3091.82
15,27.82,1000,50,0.01,16,CIFAR10,3091.82
16,28.22,1000,50,0.01,16,CIFAR10,3091.82
17,28.82,1000,50,0.01,16,CIFAR10,3091.82
18,29.19,1000,50,0.01,16,CIFAR10,3091.82
19,29.67,1000,50,0.01,16,CIFAR10,3091.82
20,30.12,1000,50,0.01,16,CIFAR10,3091.82
21,30.63,1000,50,0.01,16,CIFAR10,3091.82
22,31.16,1000,50,0.01,16,CIFAR10,3091.82
23,31.46,1000,50,0.01,16,CIFAR10,3091.82
24,31.89,1000,50,0.01,16,CIFAR10,3091.82
25,32.45,1000,50,0.01,16,CIFAR10,3091.82
26,32.87,1000,50,0.01,16,CIFAR10,3091.82
27,33.14,1000,50,0.01,16,CIFAR10,3091.82
28,33.65,1000,50,0.01,16,CIFAR10,3091.82
29,34.22,1000,50,0.01,16,CIFAR10,3091.82
30,34.61,1000,50,0.01,16,CIFAR10,3091.82
31,35.15,1000,50,0.01,16,CIFAR10,3091.82
32,35.61,1000,50,0.01,16,CIFAR10,3091.82
33,35.84,1000,50,0.01,16,CIFAR10,3091.82
34,35.96,1000,50,0.01,16,CIFAR10,3091.82
35,36.22,1000,50,0.01,16,CIFAR10,3091.82
36,36.64,1000,50,0.01,16,CIFAR10,3091.82
37,36.81,1000,50,0.01,16,CIFAR10,3091.82
38,37.35,1000,50,0.01,16,CIFAR10,3091.82
39,37.7,1000,50,0.01,16,CIFAR10,3091.82
40,37.96,1000,50,0.01,16,CIFAR10,3091.82
41,38.27,1000,50,0.01,16,CIFAR10,3091.82
42,38.48,1000,50,0.01,16,CIFAR10,3091.82
43,38.56,1000,50,0.01,16,CIFAR10,3091.82
44,38.87,1000,50,0.01,16,CIFAR10,3091.82
45,38.97,1000,50,0.01,16,CIFAR10,3091.82
46,39.11,1000,50,0.01,16,CIFAR10,3091.82
47,39.39,1000,50,0.01,16,CIFAR10,3091.82
48,39.63,1000,50,0.01,16,CIFAR10,3091.82
49,39.82,1000,50,0.01,16,CIFAR10,3091.82
50,39.97,1000,50,0.01,16,CIFAR10,3091.82
