Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,11.7,50,50,0.001,16,CIFAR10,2717.72
2,11.65,50,50,0.001,16,CIFAR10,2717.72
3,11.74,50,50,0.001,16,CIFAR10,2717.72
4,11.81,50,50,0.001,16,CIFAR10,2717.72
5,11.94,50,50,0.001,16,CIFAR10,2717.72
6,12.5,50,50,0.001,16,CIFAR10,2717.72
7,14.57,50,50,0.001,16,CIFAR10,2717.72
8,18.76,50,50,0.001,16,CIFAR10,2717.72
9,22.22,50,50,0.001,16,CIFAR10,2717.72
10,24.67,50,50,0.001,16,CIFAR10,2717.72
11,26.03,50,50,0.001,16,CIFAR10,2717.72
12,26.95,50,50,0.001,16,CIFAR10,2717.72
13,28.28,50,50,0.001,16,CIFAR10,2717.72
14,29.81,50,50,0.001,16,CIFAR10,2717.72
15,31.09,50,50,0.001,16,CIFAR10,2717.72
16,32.49,50,50,0.001,16,CIFAR10,2717.72
17,33.46,50,50,0.001,16,CIFAR10,2717.72
18,34.2,50,50,0.001,16,CIFAR10,2717.72
19,34.65,50,50,0.001,16,CIFAR10,2717.72
20,35.44,50,50,0.001,16,CIFAR10,2717.72
21,35.99,50,50,0.001,16,CIFAR10,2717.72
22,36.63,50,50,0.001,16,CIFAR10,2717.72
23,37.32,50,50,0.001,16,CIFAR10,2717.72
24,37.73,50,50,0.001,16,CIFAR10,2717.72
25,38.44,50,50,0.001,16,CIFAR10,2717.72
26,38.93,50,50,0.001,16,CIFAR10,2717.72
27,39.3,50,50,0.001,16,CIFAR10,2717.72
28,39.59,50,50,0.001,16,CIFAR10,2717.72
29,40.03,50,50,0.001,16,CIFAR10,2717.72
30,40.34,50,50,0.001,16,CIFAR10,2717.72
31,40.76,50,50,0.001,16,CIFAR10,2717.72
32,41.15,50,50,0.001,16,CIFAR10,2717.72
33,41.47,50,50,0.001,16,CIFAR10,2717.72
34,41.55,50,50,0.001,16,CIFAR10,2717.72
35,42.11,50,50,0.001,16,CIFAR10,2717.72
36,42.36,50,50,0.001,16,CIFAR10,2717.72
37,42.71,50,50,0.001,16,CIFAR10,2717.72
38,43.13,50,50,0.001,16,CIFAR10,2717.72
39,43.45,50,50,0.001,16,CIFAR10,2717.72
40,43.63,50,50,0.001,16,CIFAR10,2717.72
41,44.14,50,50,0.001,16,CIFAR10,2717.72
42,44.37,50,50,0.001,16,CIFAR10,2717.72
43,44.72,50,50,0.001,16,CIFAR10,2717.72
44,45.34,50,50,0.001,16,CIFAR10,2717.72
45,45.58,50,50,0.001,16,CIFAR10,2717.72
46,45.94,50,50,0.001,16,CIFAR10,2717.72
47,46.5,50,50,0.001,16,CIFAR10,2717.72
48,46.84,50,50,0.001,16,CIFAR10,2717.72
49,47.12,50,50,0.001,16,CIFAR10,2717.72
50,47.48,50,50,0.001,16,CIFAR10,2717.72
