Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,39.15,50,50,0.01,4,CIFAR10,5019.63
2,47.57,50,50,0.01,4,CIFAR10,5019.63
3,52.39,50,50,0.01,4,CIFAR10,5019.63
4,55.43,50,50,0.01,4,CIFAR10,5019.63
5,57.71,50,50,0.01,4,CIFAR10,5019.63
6,59.34,50,50,0.01,4,CIFAR10,5019.63
7,60.32,50,50,0.01,4,CIFAR10,5019.63
8,61.44,50,50,0.01,4,CIFAR10,5019.63
9,61.92,50,50,0.01,4,CIFAR10,5019.63
10,62.51,50,50,0.01,4,CIFAR10,5019.63
11,63.08,50,50,0.01,4,CIFAR10,5019.63
12,63.51,50,50,0.01,4,CIFAR10,5019.63
13,63.9,50,50,0.01,4,CIFAR10,5019.63
14,64.41,50,50,0.01,4,CIFAR10,5019.63
15,64.66,50,50,0.01,4,CIFAR10,5019.63
16,64.98,50,50,0.01,4,CIFAR10,5019.63
17,65.24,50,50,0.01,4,CIFAR10,5019.63
18,65.48,50,50,0.01,4,CIFAR10,5019.63
19,65.72,50,50,0.01,4,CIFAR10,5019.63
20,65.93,50,50,0.01,4,CIFAR10,5019.63
21,66.3,50,50,0.01,4,CIFAR10,5019.63
22,66.48,50,50,0.01,4,CIFAR10,5019.63
23,66.48,50,50,0.01,4,CIFAR10,5019.63
24,66.72,50,50,0.01,4,CIFAR10,5019.63
25,66.66,50,50,0.01,4,CIFAR10,5019.63
26,66.95,50,50,0.01,4,CIFAR10,5019.63
27,66.92,50,50,0.01,4,CIFAR10,5019.63
28,66.97,50,50,0.01,4,CIFAR10,5019.63
29,67.24,50,50,0.01,4,CIFAR10,5019.63
30,67.39,50,50,0.01,4,CIFAR10,5019.63
31,67.53,50,50,0.01,4,CIFAR10,5019.63
32,67.5,50,50,0.01,4,CIFAR10,5019.63
33,67.55,50,50,0.01,4,CIFAR10,5019.63
34,67.75,50,50,0.01,4,CIFAR10,5019.63
35,67.75,50,50,0.01,4,CIFAR10,5019.63
36,67.87,50,50,0.01,4,CIFAR10,5019.63
37,67.9,50,50,0.01,4,CIFAR10,5019.63
38,67.84,50,50,0.01,4,CIFAR10,5019.63
39,67.88,50,50,0.01,4,CIFAR10,5019.63
40,67.75,50,50,0.01,4,CIFAR10,5019.63
41,67.72,50,50,0.01,4,CIFAR10,5019.63
42,67.84,50,50,0.01,4,CIFAR10,5019.63
43,68.02,50,50,0.01,4,CIFAR10,5019.63
44,67.93,50,50,0.01,4,CIFAR10,5019.63
45,68.03,50,50,0.01,4,CIFAR10,5019.63
46,68.02,50,50,0.01,4,CIFAR10,5019.63
47,68.14,50,50,0.01,4,CIFAR10,5019.63
48,68.23,50,50,0.01,4,CIFAR10,5019.63
49,68.21,50,50,0.01,4,CIFAR10,5019.63
50,68.29,50,50,0.01,4,CIFAR10,5019.63
