Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,40.97,50,50,0.05,16,CIFAR10,2671.06
2,48.97,50,50,0.05,16,CIFAR10,2671.06
3,53.65,50,50,0.05,16,CIFAR10,2671.06
4,56.5,50,50,0.05,16,CIFAR10,2671.06
5,59.03,50,50,0.05,16,CIFAR10,2671.06
6,60.92,50,50,0.05,16,CIFAR10,2671.06
7,62.38,50,50,0.05,16,CIFAR10,2671.06
8,63.1,50,50,0.05,16,CIFAR10,2671.06
9,64.16,50,50,0.05,16,CIFAR10,2671.06
10,64.67,50,50,0.05,16,CIFAR10,2671.06
11,65.05,50,50,0.05,16,CIFAR10,2671.06
12,65.48,50,50,0.05,16,CIFAR10,2671.06
13,66.03,50,50,0.05,16,CIFAR10,2671.06
14,66.34,50,50,0.05,16,CIFAR10,2671.06
15,66.75,50,50,0.05,16,CIFAR10,2671.06
16,67.03,50,50,0.05,16,CIFAR10,2671.06
17,67.15,50,50,0.05,16,CIFAR10,2671.06
18,67.53,50,50,0.05,16,CIFAR10,2671.06
19,67.67,50,50,0.05,16,CIFAR10,2671.06
20,67.89,50,50,0.05,16,CIFAR10,2671.06
21,68.1,50,50,0.05,16,CIFAR10,2671.06
22,68.32,50,50,0.05,16,CIFAR10,2671.06
23,68.17,50,50,0.05,16,CIFAR10,2671.06
24,68.5,50,50,0.05,16,CIFAR10,2671.06
25,68.42,50,50,0.05,16,CIFAR10,2671.06
26,68.71,50,50,0.05,16,CIFAR10,2671.06
27,68.73,50,50,0.05,16,CIFAR10,2671.06
28,68.92,50,50,0.05,16,CIFAR10,2671.06
29,68.99,50,50,0.05,16,CIFAR10,2671.06
30,69.02,50,50,0.05,16,CIFAR10,2671.06
31,69.1,50,50,0.05,16,CIFAR10,2671.06
32,69.05,50,50,0.05,16,CIFAR10,2671.06
33,69.32,50,50,0.05,16,CIFAR10,2671.06
34,69.38,50,50,0.05,16,CIFAR10,2671.06
35,69.29,50,50,0.05,16,CIFAR10,2671.06
36,69.44,50,50,0.05,16,CIFAR10,2671.06
37,69.3,50,50,0.05,16,CIFAR10,2671.06
38,69.36,50,50,0.05,16,CIFAR10,2671.06
39,69.41,50,50,0.05,16,CIFAR10,2671.06
40,69.41,50,50,0.05,16,CIFAR10,2671.06
41,69.42,50,50,0.05,16,CIFAR10,2671.06
42,69.51,50,50,0.05,16,CIFAR10,2671.06
43,69.33,50,50,0.05,16,CIFAR10,2671.06
44,69.56,50,50,0.05,16,CIFAR10,2671.06
45,69.56,50,50,0.05,16,CIFAR10,2671.06
46,69.48,50,50,0.05,16,CIFAR10,2671.06
47,69.41,50,50,0.05,16,CIFAR10,2671.06
48,69.47,50,50,0.05,16,CIFAR10,2671.06
49,69.46,50,50,0.05,16,CIFAR10,2671.06
50,69.44,50,50,0.05,16,CIFAR10,2671.06
