Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
109,68.05,50,1000,0.01,16,CIFAR10,53381.07
110,68.1,50,1000,0.01,16,CIFAR10,53381.07
111,68.26,50,1000,0.01,16,CIFAR10,53381.07
112,68.14,50,1000,0.01,16,CIFAR10,53381.07
113,68.14,50,1000,0.01,16,CIFAR10,53381.07
114,68.16,50,1000,0.01,16,CIFAR10,53381.07
115,68.26,50,1000,0.01,16,CIFAR10,53381.07
116,68.27,50,1000,0.01,16,CIFAR10,53381.07
117,68.2,50,1000,0.01,16,CIFAR10,53381.07
118,68.16,50,1000,0.01,16,CIFAR10,53381.07
119,67.96,50,1000,0.01,16,CIFAR10,53381.07
120,68.23,50,1000,0.01,16,CIFAR10,53381.07
121,68.24,50,1000,0.01,16,CIFAR10,53381.07
122,68.31,50,1000,0.01,16,CIFAR10,53381.07
123,68.19,50,1000,0.01,16,CIFAR10,53381.07
124,68.2,50,1000,0.01,16,CIFAR10,53381.07
125,68.05,50,1000,0.01,16,CIFAR10,53381.07
126,67.84,50,1000,0.01,16,CIFAR10,53381.07
127,68.07,50,1000,0.01,16,CIFAR10,53381.07
128,67.94,50,1000,0.01,16,CIFAR10,53381.07
129,68.06,50,1000,0.01,16,CIFAR10,53381.07
130,68.07,50,1000,0.01,16,CIFAR10,53381.07
131,67.96,50,1000,0.01,16,CIFAR10,53381.07
132,67.8,50,1000,0.01,16,CIFAR10,53381.07
133,67.93,50,1000,0.01,16,CIFAR10,53381.07
134,68.01,50,1000,0.01,16,CIFAR10,53381.07
135,68.01,50,1000,0.01,16,CIFAR10,53381.07
136,68.05,50,1000,0.01,16,CIFAR10,53381.07
137,68.16,50,1000,0.01,16,CIFAR10,53381.07
138,68.07,50,1000,0.01,16,CIFAR10,53381.07
139,67.96,50,1000,0.01,16,CIFAR10,53381.07
140,67.86,50,1000,0.01,16,CIFAR10,53381.07
141,68.03,50,1000,0.01,16,CIFAR10,53381.07
142,67.96,50,1000,0.01,16,CIFAR10,53381.07
143,67.91,50,1000,0.01,16,CIFAR10,53381.07
144,67.96,50,1000,0.01,16,CIFAR10,53381.07
145,68.1,50,1000,0.01,16,CIFAR10,53381.07
146,67.89,50,1000,0.01,16,CIFAR10,53381.07
147,68.13,50,1000,0.01,16,CIFAR10,53381.07
148,68.05,50,1000,0.01,16,CIFAR10,53381.07
149,68.22,50,1000,0.01,16,CIFAR10,53381.07
150,68.05,50,1000,0.01,16,CIFAR10,53381.07
