Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,18.34,50,50,0.01,64,CIFAR10,2010.89
2,24.51,50,50,0.01,64,CIFAR10,2010.89
3,25.38,50,50,0.01,64,CIFAR10,2010.89
4,26.74,50,50,0.01,64,CIFAR10,2010.89
5,28.28,50,50,0.01,64,CIFAR10,2010.89
6,30.84,50,50,0.01,64,CIFAR10,2010.89
7,33.2,50,50,0.01,64,CIFAR10,2010.89
8,35.06,50,50,0.01,64,CIFAR10,2010.89
9,36.6,50,50,0.01,64,CIFAR10,2010.89
10,37.88,50,50,0.01,64,CIFAR10,2010.89
11,39.25,50,50,0.01,64,CIFAR10,2010.89
12,40.28,50,50,0.01,64,CIFAR10,2010.89
13,41.31,50,50,0.01,64,CIFAR10,2010.89
14,42.49,50,50,0.01,64,CIFAR10,2010.89
15,43.3,50,50,0.01,64,CIFAR10,2010.89
16,43.91,50,50,0.01,64,CIFAR10,2010.89
17,45.16,50,50,0.01,64,CIFAR10,2010.89
18,45.92,50,50,0.01,64,CIFAR10,2010.89
19,46.56,50,50,0.01,64,CIFAR10,2010.89
20,47.15,50,50,0.01,64,CIFAR10,2010.89
21,47.6,50,50,0.01,64,CIFAR10,2010.89
22,48.25,50,50,0.01,64,CIFAR10,2010.89
23,48.86,50,50,0.01,64,CIFAR10,2010.89
24,49.27,50,50,0.01,64,CIFAR10,2010.89
25,49.66,50,50,0.01,64,CIFAR10,2010.89
26,50.13,50,50,0.01,64,CIFAR10,2010.89
27,50.25,50,50,0.01,64,CIFAR10,2010.89
28,50.77,50,50,0.01,64,CIFAR10,2010.89
29,51.14,50,50,0.01,64,CIFAR10,2010.89
30,51.58,50,50,0.01,64,CIFAR10,2010.89
31,51.85,50,50,0.01,64,CIFAR10,2010.89
32,52.16,50,50,0.01,64,CIFAR10,2010.89
33,52.56,50,50,0.01,64,CIFAR10,2010.89
34,52.95,50,50,0.01,64,CIFAR10,2010.89
35,53.18,50,50,0.01,64,CIFAR10,2010.89
36,53.68,50,50,0.01,64,CIFAR10,2010.89
37,54.06,50,50,0.01,64,CIFAR10,2010.89
38,54.22,50,50,0.01,64,CIFAR10,2010.89
39,54.77,50,50,0.01,64,CIFAR10,2010.89
40,54.99,50,50,0.01,64,CIFAR10,2010.89
41,55.25,50,50,0.01,64,CIFAR10,2010.89
42,55.62,50,50,0.01,64,CIFAR10,2010.89
43,55.86,50,50,0.01,64,CIFAR10,2010.89
44,56.04,50,50,0.01,64,CIFAR10,2010.89
45,56.14,50,50,0.01,64,CIFAR10,2010.89
46,56.27,50,50,0.01,64,CIFAR10,2010.89
47,56.43,50,50,0.01,64,CIFAR10,2010.89
48,56.56,50,50,0.01,64,CIFAR10,2010.89
49,57.03,50,50,0.01,64,CIFAR10,2010.89
50,57.14,50,50,0.01,64,CIFAR10,2010.89
