Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,18.47,50,50,0.005,16,CIFAR10,2688.18
2,25.79,50,50,0.005,16,CIFAR10,2688.18
3,29.77,50,50,0.005,16,CIFAR10,2688.18
4,34.89,50,50,0.005,16,CIFAR10,2688.18
5,37.76,50,50,0.005,16,CIFAR10,2688.18
6,40.18,50,50,0.005,16,CIFAR10,2688.18
7,42.34,50,50,0.005,16,CIFAR10,2688.18
8,44.27,50,50,0.005,16,CIFAR10,2688.18
9,45.22,50,50,0.005,16,CIFAR10,2688.18
10,46.52,50,50,0.005,16,CIFAR10,2688.18
11,47.46,50,50,0.005,16,CIFAR10,2688.18
12,48.59,50,50,0.005,16,CIFAR10,2688.18
13,49.23,50,50,0.005,16,CIFAR10,2688.18
14,50.12,50,50,0.005,16,CIFAR10,2688.18
15,50.86,50,50,0.005,16,CIFAR10,2688.18
16,51.54,50,50,0.005,16,CIFAR10,2688.18
17,52.09,50,50,0.005,16,CIFAR10,2688.18
18,52.37,50,50,0.005,16,CIFAR10,2688.18
19,53.31,50,50,0.005,16,CIFAR10,2688.18
20,53.9,50,50,0.005,16,CIFAR10,2688.18
21,54.57,50,50,0.005,16,CIFAR10,2688.18
22,54.95,50,50,0.005,16,CIFAR10,2688.18
23,55.39,50,50,0.005,16,CIFAR10,2688.18
24,55.95,50,50,0.005,16,CIFAR10,2688.18
25,56.16,50,50,0.005,16,CIFAR10,2688.18
26,56.81,50,50,0.005,16,CIFAR10,2688.18
27,56.99,50,50,0.005,16,CIFAR10,2688.18
28,57.45,50,50,0.005,16,CIFAR10,2688.18
29,57.97,50,50,0.005,16,CIFAR10,2688.18
30,58.33,50,50,0.005,16,CIFAR10,2688.18
31,58.67,50,50,0.005,16,CIFAR10,2688.18
32,59.14,50,50,0.005,16,CIFAR10,2688.18
33,59.92,50,50,0.005,16,CIFAR10,2688.18
34,60.05,50,50,0.005,16,CIFAR10,2688.18
35,60.35,50,50,0.005,16,CIFAR10,2688.18
36,60.83,50,50,0.005,16,CIFAR10,2688.18
37,61.2,50,50,0.005,16,CIFAR10,2688.18
38,61.45,50,50,0.005,16,CIFAR10,2688.18
39,61.8,50,50,0.005,16,CIFAR10,2688.18
40,61.97,50,50,0.005,16,CIFAR10,2688.18
41,62.55,50,50,0.005,16,CIFAR10,2688.18
42,62.83,50,50,0.005,16,CIFAR10,2688.18
43,62.84,50,50,0.005,16,CIFAR10,2688.18
44,63.28,50,50,0.005,16,CIFAR10,2688.18
45,63.54,50,50,0.005,16,CIFAR10,2688.18
46,63.76,50,50,0.005,16,CIFAR10,2688.18
47,63.95,50,50,0.005,16,CIFAR10,2688.18
48,63.97,50,50,0.005,16,CIFAR10,2688.18
49,64.1,50,50,0.005,16,CIFAR10,2688.18
50,64.23,50,50,0.005,16,CIFAR10,2688.18
