Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,61.35,2,50,0.01,16,CIFAR10,2689.77
2,68.86,2,50,0.01,16,CIFAR10,2689.77
3,70.42,2,50,0.01,16,CIFAR10,2689.77
4,71.99,2,50,0.01,16,CIFAR10,2689.77
5,71.6,2,50,0.01,16,CIFAR10,2689.77
6,72.44,2,50,0.01,16,CIFAR10,2689.77
7,72.38,2,50,0.01,16,CIFAR10,2689.77
8,72.3,2,50,0.01,16,CIFAR10,2689.77
9,72.48,2,50,0.01,16,CIFAR10,2689.77
10,72.15,2,50,0.01,16,CIFAR10,2689.77
11,72.15,2,50,0.01,16,CIFAR10,2689.77
12,71.95,2,50,0.01,16,CIFAR10,2689.77
13,71.9,2,50,0.01,16,CIFAR10,2689.77
14,72.03,2,50,0.01,16,CIFAR10,2689.77
15,71.97,2,50,0.01,16,CIFAR10,2689.77
16,72.04,2,50,0.01,16,CIFAR10,2689.77
17,72.03,2,50,0.01,16,CIFAR10,2689.77
18,72.04,2,50,0.01,16,CIFAR10,2689.77
19,71.95,2,50,0.01,16,CIFAR10,2689.77
20,72.02,2,50,0.01,16,CIFAR10,2689.77
21,71.9,2,50,0.01,16,CIFAR10,2689.77
22,71.96,2,50,0.01,16,CIFAR10,2689.77
23,71.94,2,50,0.01,16,CIFAR10,2689.77
24,71.94,2,50,0.01,16,CIFAR10,2689.77
25,71.99,2,50,0.01,16,CIFAR10,2689.77
26,71.95,2,50,0.01,16,CIFAR10,2689.77
27,71.96,2,50,0.01,16,CIFAR10,2689.77
28,71.88,2,50,0.01,16,CIFAR10,2689.77
29,71.85,2,50,0.01,16,CIFAR10,2689.77
30,71.85,2,50,0.01,16,CIFAR10,2689.77
31,71.81,2,50,0.01,16,CIFAR10,2689.77
32,71.82,2,50,0.01,16,CIFAR10,2689.77
33,71.87,2,50,0.01,16,CIFAR10,2689.77
34,71.76,2,50,0.01,16,CIFAR10,2689.77
35,71.8,2,50,0.01,16,CIFAR10,2689.77
36,71.84,2,50,0.01,16,CIFAR10,2689.77
37,71.8,2,50,0.01,16,CIFAR10,2689.77
38,71.79,2,50,0.01,16,CIFAR10,2689.77
39,71.81,2,50,0.01,16,CIFAR10,2689.77
40,71.84,2,50,0.01,16,CIFAR10,2689.77
41,71.85,2,50,0.01,16,CIFAR10,2689.77
42,71.8,2,50,0.01,16,CIFAR10,2689.77
43,71.81,2,50,0.01,16,CIFAR10,2689.77
44,71.82,2,50,0.01,16,CIFAR10,2689.77
45,71.8,2,50,0.01,16,CIFAR10,2689.77
46,71.8,2,50,0.01,16,CIFAR10,2689.77
47,71.79,2,50,0.01,16,CIFAR10,2689.77
48,71.81,2,50,0.01,16,CIFAR10,2689.77
49,71.81,2,50,0.01,16,CIFAR10,2689.77
50,71.82,2,50,0.01,16,CIFAR10,2689.77
