Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,16.15,50,50,0.01,16,CIFAR10,625.87
2,18.56,50,50,0.01,16,CIFAR10,625.87
3,20.42,50,50,0.01,16,CIFAR10,625.87
4,24.2,50,50,0.01,16,CIFAR10,625.87
5,26.95,50,50,0.01,16,CIFAR10,625.87
6,28.13,50,50,0.01,16,CIFAR10,625.87
7,28.82,50,50,0.01,16,CIFAR10,625.87
8,29.64,50,50,0.01,16,CIFAR10,625.87
9,30.75,50,50,0.01,16,CIFAR10,625.87
10,32.37,50,50,0.01,16,CIFAR10,625.87
11,33.16,50,50,0.01,16,CIFAR10,625.87
12,34.37,50,50,0.01,16,CIFAR10,625.87
13,35.06,50,50,0.01,16,CIFAR10,625.87
14,36.46,50,50,0.01,16,CIFAR10,625.87
15,37.54,50,50,0.01,16,CIFAR10,625.87
16,38.19,50,50,0.01,16,CIFAR10,625.87
17,38.76,50,50,0.01,16,CIFAR10,625.87
18,39.78,50,50,0.01,16,CIFAR10,625.87
19,40.52,50,50,0.01,16,CIFAR10,625.87
20,41.3,50,50,0.01,16,CIFAR10,625.87
21,41.88,50,50,0.01,16,CIFAR10,625.87
22,42.94,50,50,0.01,16,CIFAR10,625.87
23,43.28,50,50,0.01,16,CIFAR10,625.87
24,43.69,50,50,0.01,16,CIFAR10,625.87
25,44.07,50,50,0.01,16,CIFAR10,625.87
26,44.91,50,50,0.01,16,CIFAR10,625.87
27,45.29,50,50,0.01,16,CIFAR10,625.87
28,45.77,50,50,0.01,16,CIFAR10,625.87
29,45.81,50,50,0.01,16,CIFAR10,625.87
30,46.25,50,50,0.01,16,CIFAR10,625.87
31,47.06,50,50,0.01,16,CIFAR10,625.87
32,47.19,50,50,0.01,16,CIFAR10,625.87
33,47.56,50,50,0.01,16,CIFAR10,625.87
34,48.07,50,50,0.01,16,CIFAR10,625.87
35,48.34,50,50,0.01,16,CIFAR10,625.87
36,48.65,50,50,0.01,16,CIFAR10,625.87
37,48.85,50,50,0.01,16,CIFAR10,625.87
38,49.18,50,50,0.01,16,CIFAR10,625.87
39,49.34,50,50,0.01,16,CIFAR10,625.87
40,49.76,50,50,0.01,16,CIFAR10,625.87
41,50.06,50,50,0.01,16,CIFAR10,625.87
42,50.21,50,50,0.01,16,CIFAR10,625.87
43,50.56,50,50,0.01,16,CIFAR10,625.87
44,50.8,50,50,0.01,16,CIFAR10,625.87
45,50.92,50,50,0.01,16,CIFAR10,625.87
46,51.28,50,50,0.01,16,CIFAR10,625.87
47,51.6,50,50,0.01,16,CIFAR10,625.87
48,51.85,50,50,0.01,16,CIFAR10,625.87
49,51.97,50,50,0.01,16,CIFAR10,625.87
50,52.03,50,50,0.01,16,CIFAR10,625.87
