Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,10.0,50,50,0.5,16,CIFAR10,2689.75
2,10.0,50,50,0.5,16,CIFAR10,2689.75
3,10.0,50,50,0.5,16,CIFAR10,2689.75
4,10.0,50,50,0.5,16,CIFAR10,2689.75
5,10.0,50,50,0.5,16,CIFAR10,2689.75
6,10.0,50,50,0.5,16,CIFAR10,2689.75
7,10.0,50,50,0.5,16,CIFAR10,2689.75
8,10.0,50,50,0.5,16,CIFAR10,2689.75
9,10.0,50,50,0.5,16,CIFAR10,2689.75
10,10.0,50,50,0.5,16,CIFAR10,2689.75
11,10.0,50,50,0.5,16,CIFAR10,2689.75
12,10.0,50,50,0.5,16,CIFAR10,2689.75
13,10.0,50,50,0.5,16,CIFAR10,2689.75
14,10.0,50,50,0.5,16,CIFAR10,2689.75
15,10.0,50,50,0.5,16,CIFAR10,2689.75
16,10.0,50,50,0.5,16,CIFAR10,2689.75
17,10.0,50,50,0.5,16,CIFAR10,2689.75
18,10.0,50,50,0.5,16,CIFAR10,2689.75
19,10.0,50,50,0.5,16,CIFAR10,2689.75
20,10.0,50,50,0.5,16,CIFAR10,2689.75
21,10.0,50,50,0.5,16,CIFAR10,2689.75
22,10.0,50,50,0.5,16,CIFAR10,2689.75
23,10.0,50,50,0.5,16,CIFAR10,2689.75
24,10.0,50,50,0.5,16,CIFAR10,2689.75
25,10.0,50,50,0.5,16,CIFAR10,2689.75
26,10.0,50,50,0.5,16,CIFAR10,2689.75
27,10.0,50,50,0.5,16,CIFAR10,2689.75
28,10.0,50,50,0.5,16,CIFAR10,2689.75
29,10.0,50,50,0.5,16,CIFAR10,2689.75
30,10.0,50,50,0.5,16,CIFAR10,2689.75
31,10.0,50,50,0.5,16,CIFAR10,2689.75
32,10.0,50,50,0.5,16,CIFAR10,2689.75
33,10.0,50,50,0.5,16,CIFAR10,2689.75
34,10.0,50,50,0.5,16,CIFAR10,2689.75
35,10.0,50,50,0.5,16,CIFAR10,2689.75
36,10.0,50,50,0.5,16,CIFAR10,2689.75
37,10.0,50,50,0.5,16,CIFAR10,2689.75
38,10.0,50,50,0.5,16,CIFAR10,2689.75
39,10.0,50,50,0.5,16,CIFAR10,2689.75
40,10.0,50,50,0.5,16,CIFAR10,2689.75
41,10.0,50,50,0.5,16,CIFAR10,2689.75
42,10.0,50,50,0.5,16,CIFAR10,2689.75
43,10.0,50,50,0.5,16,CIFAR10,2689.75
44,10.0,50,50,0.5,16,CIFAR10,2689.75
45,10.0,50,50,0.5,16,CIFAR10,2689.75
46,10.0,50,50,0.5,16,CIFAR10,2689.75
47,10.0,50,50,0.5,16,CIFAR10,2689.75
48,10.0,50,50,0.5,16,CIFAR10,2689.75
49,10.0,50,50,0.5,16,CIFAR10,2689.75
50,10.0,50,50,0.5,16,CIFAR10,2689.75
