Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,35.63,50,50,0.01,16,CIFAR10,5288.18
2,43.02,50,50,0.01,16,CIFAR10,5288.18
3,48.16,50,50,0.01,16,CIFAR10,5288.18
4,51.41,50,50,0.01,16,CIFAR10,5288.18
5,54.11,50,50,0.01,16,CIFAR10,5288.18
6,55.76,50,50,0.01,16,CIFAR10,5288.18
7,56.86,50,50,0.01,16,CIFAR10,5288.18
8,57.62,50,50,0.01,16,CIFAR10,5288.18
9,58.56,50,50,0.01,16,CIFAR10,5288.18
10,59.17,50,50,0.01,16,CIFAR10,5288.18
11,59.72,50,50,0.01,16,CIFAR10,5288.18
12,60.2,50,50,0.01,16,CIFAR10,5288.18
13,60.96,50,50,0.01,16,CIFAR10,5288.18
14,61.19,50,50,0.01,16,CIFAR10,5288.18
15,61.63,50,50,0.01,16,CIFAR10,5288.18
16,61.97,50,50,0.01,16,CIFAR10,5288.18
17,62.15,50,50,0.01,16,CIFAR10,5288.18
18,62.22,50,50,0.01,16,CIFAR10,5288.18
19,62.35,50,50,0.01,16,CIFAR10,5288.18
20,62.51,50,50,0.01,16,CIFAR10,5288.18
21,62.8,50,50,0.01,16,CIFAR10,5288.18
22,62.83,50,50,0.01,16,CIFAR10,5288.18
23,62.78,50,50,0.01,16,CIFAR10,5288.18
24,63.03,50,50,0.01,16,CIFAR10,5288.18
25,63.22,50,50,0.01,16,CIFAR10,5288.18
26,63.31,50,50,0.01,16,CIFAR10,5288.18
27,63.46,50,50,0.01,16,CIFAR10,5288.18
28,63.48,50,50,0.01,16,CIFAR10,5288.18
29,63.57,50,50,0.01,16,CIFAR10,5288.18
30,63.64,50,50,0.01,16,CIFAR10,5288.18
31,63.8,50,50,0.01,16,CIFAR10,5288.18
32,63.62,50,50,0.01,16,CIFAR10,5288.18
33,63.72,50,50,0.01,16,CIFAR10,5288.18
34,63.86,50,50,0.01,16,CIFAR10,5288.18
35,64.0,50,50,0.01,16,CIFAR10,5288.18
36,64.11,50,50,0.01,16,CIFAR10,5288.18
37,64.26,50,50,0.01,16,CIFAR10,5288.18
38,64.29,50,50,0.01,16,CIFAR10,5288.18
39,64.35,50,50,0.01,16,CIFAR10,5288.18
40,64.47,50,50,0.01,16,CIFAR10,5288.18
41,64.56,50,50,0.01,16,CIFAR10,5288.18
42,64.64,50,50,0.01,16,CIFAR10,5288.18
43,64.68,50,50,0.01,16,CIFAR10,5288.18
44,64.78,50,50,0.01,16,CIFAR10,5288.18
45,64.63,50,50,0.01,16,CIFAR10,5288.18
46,64.85,50,50,0.01,16,CIFAR10,5288.18
47,64.98,50,50,0.01,16,CIFAR10,5288.18
48,64.94,50,50,0.01,16,CIFAR10,5288.18
49,64.95,50,50,0.01,16,CIFAR10,5288.18
50,64.9,50,50,0.01,16,CIFAR10,5288.18
