Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,32.11,50,50,0.01,8,CIFAR10,3516.21
2,40.71,50,50,0.01,8,CIFAR10,3516.21
3,46.57,50,50,0.01,8,CIFAR10,3516.21
4,49.56,50,50,0.01,8,CIFAR10,3516.21
5,51.98,50,50,0.01,8,CIFAR10,3516.21
6,54.21,50,50,0.01,8,CIFAR10,3516.21
7,55.78,50,50,0.01,8,CIFAR10,3516.21
8,57.1,50,50,0.01,8,CIFAR10,3516.21
9,58.5,50,50,0.01,8,CIFAR10,3516.21
10,59.55,50,50,0.01,8,CIFAR10,3516.21
11,60.54,50,50,0.01,8,CIFAR10,3516.21
12,61.14,50,50,0.01,8,CIFAR10,3516.21
13,61.76,50,50,0.01,8,CIFAR10,3516.21
14,62.29,50,50,0.01,8,CIFAR10,3516.21
15,63.01,50,50,0.01,8,CIFAR10,3516.21
16,63.47,50,50,0.01,8,CIFAR10,3516.21
17,63.92,50,50,0.01,8,CIFAR10,3516.21
18,64.07,50,50,0.01,8,CIFAR10,3516.21
19,64.45,50,50,0.01,8,CIFAR10,3516.21
20,64.61,50,50,0.01,8,CIFAR10,3516.21
21,65.06,50,50,0.01,8,CIFAR10,3516.21
22,65.14,50,50,0.01,8,CIFAR10,3516.21
23,65.11,50,50,0.01,8,CIFAR10,3516.21
24,65.16,50,50,0.01,8,CIFAR10,3516.21
25,65.45,50,50,0.01,8,CIFAR10,3516.21
26,65.59,50,50,0.01,8,CIFAR10,3516.21
27,65.8,50,50,0.01,8,CIFAR10,3516.21
28,65.81,50,50,0.01,8,CIFAR10,3516.21
29,65.88,50,50,0.01,8,CIFAR10,3516.21
30,65.77,50,50,0.01,8,CIFAR10,3516.21
31,65.99,50,50,0.01,8,CIFAR10,3516.21
32,66.14,50,50,0.01,8,CIFAR10,3516.21
33,66.3,50,50,0.01,8,CIFAR10,3516.21
34,66.35,50,50,0.01,8,CIFAR10,3516.21
35,66.43,50,50,0.01,8,CIFAR10,3516.21
36,66.47,50,50,0.01,8,CIFAR10,3516.21
37,66.58,50,50,0.01,8,CIFAR10,3516.21
38,66.79,50,50,0.01,8,CIFAR10,3516.21
39,66.9,50,50,0.01,8,CIFAR10,3516.21
40,66.96,50,50,0.01,8,CIFAR10,3516.21
41,67.01,50,50,0.01,8,CIFAR10,3516.21
42,66.96,50,50,0.01,8,CIFAR10,3516.21
43,66.98,50,50,0.01,8,CIFAR10,3516.21
44,67.1,50,50,0.01,8,CIFAR10,3516.21
45,67.24,50,50,0.01,8,CIFAR10,3516.21
46,67.24,50,50,0.01,8,CIFAR10,3516.21
47,67.24,50,50,0.01,8,CIFAR10,3516.21
48,67.34,50,50,0.01,8,CIFAR10,3516.21
49,67.34,50,50,0.01,8,CIFAR10,3516.21
50,67.48,50,50,0.01,8,CIFAR10,3516.21
