Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,49.59,50,50,0.01,16,CIFAR10,25676.63
2,53.44,50,50,0.01,16,CIFAR10,25676.63
3,53.01,50,50,0.01,16,CIFAR10,25676.63
4,54.35,50,50,0.01,16,CIFAR10,25676.63
5,54.61,50,50,0.01,16,CIFAR10,25676.63
6,55.82,50,50,0.01,16,CIFAR10,25676.63
7,55.96,50,50,0.01,16,CIFAR10,25676.63
8,56.7,50,50,0.01,16,CIFAR10,25676.63
9,56.94,50,50,0.01,16,CIFAR10,25676.63
10,57.51,50,50,0.01,16,CIFAR10,25676.63
11,57.91,50,50,0.01,16,CIFAR10,25676.63
12,58.22,50,50,0.01,16,CIFAR10,25676.63
13,58.41,50,50,0.01,16,CIFAR10,25676.63
14,58.76,50,50,0.01,16,CIFAR10,25676.63
15,59.03,50,50,0.01,16,CIFAR10,25676.63
16,59.29,50,50,0.01,16,CIFAR10,25676.63
17,59.53,50,50,0.01,16,CIFAR10,25676.63
18,59.94,50,50,0.01,16,CIFAR10,25676.63
19,60.03,50,50,0.01,16,CIFAR10,25676.63
20,60.5,50,50,0.01,16,CIFAR10,25676.63
21,60.51,50,50,0.01,16,CIFAR10,25676.63
22,60.58,50,50,0.01,16,CIFAR10,25676.63
23,60.62,50,50,0.01,16,CIFAR10,25676.63
24,60.98,50,50,0.01,16,CIFAR10,25676.63
25,60.95,50,50,0.01,16,CIFAR10,25676.63
26,61.09,50,50,0.01,16,CIFAR10,25676.63
27,61.07,50,50,0.01,16,CIFAR10,25676.63
28,61.12,50,50,0.01,16,CIFAR10,25676.63
29,61.15,50,50,0.01,16,CIFAR10,25676.63
30,61.22,50,50,0.01,16,CIFAR10,25676.63
31,61.25,50,50,0.01,16,CIFAR10,25676.63
32,61.41,50,50,0.01,16,CIFAR10,25676.63
33,61.21,50,50,0.01,16,CIFAR10,25676.63
34,61.25,50,50,0.01,16,CIFAR10,25676.63
35,61.37,50,50,0.01,16,CIFAR10,25676.63
36,61.51,50,50,0.01,16,CIFAR10,25676.63
37,61.48,50,50,0.01,16,CIFAR10,25676.63
38,61.44,50,50,0.01,16,CIFAR10,25676.63
39,61.62,50,50,0.01,16,CIFAR10,25676.63
40,61.74,50,50,0.01,16,CIFAR10,25676.63
41,61.76,50,50,0.01,16,CIFAR10,25676.63
42,61.88,50,50,0.01,16,CIFAR10,25676.63
43,61.78,50,50,0.01,16,CIFAR10,25676.63
44,61.8,50,50,0.01,16,CIFAR10,25676.63
45,61.89,50,50,0.01,16,CIFAR10,25676.63
46,61.9,50,50,0.01,16,CIFAR10,25676.63
47,62.2,50,50,0.01,16,CIFAR10,25676.63
48,62.11,50,50,0.01,16,CIFAR10,25676.63
49,62.23,50,50,0.01,16,CIFAR10,25676.63
50,62.06,50,50,0.01,16,CIFAR10,25676.63
