Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,45.08,50,50,0.1,16,CIFAR10,2697.77
2,52.1,50,50,0.1,16,CIFAR10,2697.77
3,56.98,50,50,0.1,16,CIFAR10,2697.77
4,59.87,50,50,0.1,16,CIFAR10,2697.77
5,61.6,50,50,0.1,16,CIFAR10,2697.77
6,62.96,50,50,0.1,16,CIFAR10,2697.77
7,63.83,50,50,0.1,16,CIFAR10,2697.77
8,64.32,50,50,0.1,16,CIFAR10,2697.77
9,64.95,50,50,0.1,16,CIFAR10,2697.77
10,65.42,50,50,0.1,16,CIFAR10,2697.77
11,66.16,50,50,0.1,16,CIFAR10,2697.77
12,66.68,50,50,0.1,16,CIFAR10,2697.77
13,67.35,50,50,0.1,16,CIFAR10,2697.77
14,67.62,50,50,0.1,16,CIFAR10,2697.77
15,67.88,50,50,0.1,16,CIFAR10,2697.77
16,67.93,50,50,0.1,16,CIFAR10,2697.77
17,68.24,50,50,0.1,16,CIFAR10,2697.77
18,68.38,50,50,0.1,16,CIFAR10,2697.77
19,68.62,50,50,0.1,16,CIFAR10,2697.77
20,68.81,50,50,0.1,16,CIFAR10,2697.77
21,68.84,50,50,0.1,16,CIFAR10,2697.77
22,69.03,50,50,0.1,16,CIFAR10,2697.77
23,69.13,50,50,0.1,16,CIFAR10,2697.77
24,69.33,50,50,0.1,16,CIFAR10,2697.77
25,69.33,50,50,0.1,16,CIFAR10,2697.77
26,69.33,50,50,0.1,16,CIFAR10,2697.77
27,69.62,50,50,0.1,16,CIFAR10,2697.77
28,69.63,50,50,0.1,16,CIFAR10,2697.77
29,69.67,50,50,0.1,16,CIFAR10,2697.77
30,69.58,50,50,0.1,16,CIFAR10,2697.77
31,69.65,50,50,0.1,16,CIFAR10,2697.77
32,69.51,50,50,0.1,16,CIFAR10,2697.77
33,69.52,50,50,0.1,16,CIFAR10,2697.77
34,69.45,50,50,0.1,16,CIFAR10,2697.77
35,69.49,50,50,0.1,16,CIFAR10,2697.77
36,69.8,50,50,0.1,16,CIFAR10,2697.77
37,69.53,50,50,0.1,16,CIFAR10,2697.77
38,69.71,50,50,0.1,16,CIFAR10,2697.77
39,69.7,50,50,0.1,16,CIFAR10,2697.77
40,69.69,50,50,0.1,16,CIFAR10,2697.77
41,69.82,50,50,0.1,16,CIFAR10,2697.77
42,69.71,50,50,0.1,16,CIFAR10,2697.77
43,69.77,50,50,0.1,16,CIFAR10,2697.77
44,69.7,50,50,0.1,16,CIFAR10,2697.77
45,69.45,50,50,0.1,16,CIFAR10,2697.77
46,69.61,50,50,0.1,16,CIFAR10,2697.77
47,69.5,50,50,0.1,16,CIFAR10,2697.77
48,69.36,50,50,0.1,16,CIFAR10,2697.77
49,69.33,50,50,0.1,16,CIFAR10,2697.77
50,69.34,50,50,0.1,16,CIFAR10,2697.77
