Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,10.85,50,50,0.01,128,CIFAR10,1881.1
2,14.69,50,50,0.01,128,CIFAR10,1881.1
3,16.84,50,50,0.01,128,CIFAR10,1881.1
4,19.93,50,50,0.01,128,CIFAR10,1881.1
5,23.72,50,50,0.01,128,CIFAR10,1881.1
6,25.31,50,50,0.01,128,CIFAR10,1881.1
7,26.06,50,50,0.01,128,CIFAR10,1881.1
8,26.92,50,50,0.01,128,CIFAR10,1881.1
9,28.32,50,50,0.01,128,CIFAR10,1881.1
10,29.64,50,50,0.01,128,CIFAR10,1881.1
11,30.69,50,50,0.01,128,CIFAR10,1881.1
12,31.6,50,50,0.01,128,CIFAR10,1881.1
13,32.8,50,50,0.01,128,CIFAR10,1881.1
14,33.86,50,50,0.01,128,CIFAR10,1881.1
15,34.66,50,50,0.01,128,CIFAR10,1881.1
16,35.51,50,50,0.01,128,CIFAR10,1881.1
17,36.35,50,50,0.01,128,CIFAR10,1881.1
18,37.03,50,50,0.01,128,CIFAR10,1881.1
19,38.02,50,50,0.01,128,CIFAR10,1881.1
20,38.7,50,50,0.01,128,CIFAR10,1881.1
21,39.34,50,50,0.01,128,CIFAR10,1881.1
22,40.22,50,50,0.01,128,CIFAR10,1881.1
23,40.77,50,50,0.01,128,CIFAR10,1881.1
24,41.38,50,50,0.01,128,CIFAR10,1881.1
25,42.14,50,50,0.01,128,CIFAR10,1881.1
26,42.32,50,50,0.01,128,CIFAR10,1881.1
27,42.94,50,50,0.01,128,CIFAR10,1881.1
28,43.51,50,50,0.01,128,CIFAR10,1881.1
29,44.16,50,50,0.01,128,CIFAR10,1881.1
30,44.65,50,50,0.01,128,CIFAR10,1881.1
31,45.17,50,50,0.01,128,CIFAR10,1881.1
32,45.75,50,50,0.01,128,CIFAR10,1881.1
33,45.98,50,50,0.01,128,CIFAR10,1881.1
34,46.18,50,50,0.01,128,CIFAR10,1881.1
35,46.64,50,50,0.01,128,CIFAR10,1881.1
36,46.85,50,50,0.01,128,CIFAR10,1881.1
37,47.09,50,50,0.01,128,CIFAR10,1881.1
38,47.75,50,50,0.01,128,CIFAR10,1881.1
39,47.74,50,50,0.01,128,CIFAR10,1881.1
40,47.9,50,50,0.01,128,CIFAR10,1881.1
41,48.26,50,50,0.01,128,CIFAR10,1881.1
42,48.36,50,50,0.01,128,CIFAR10,1881.1
43,48.52,50,50,0.01,128,CIFAR10,1881.1
44,48.88,50,50,0.01,128,CIFAR10,1881.1
45,49.14,50,50,0.01,128,CIFAR10,1881.1
46,49.44,50,50,0.01,128,CIFAR10,1881.1
47,49.61,50,50,0.01,128,CIFAR10,1881.1
48,49.93,50,50,0.01,128,CIFAR10,1881.1
49,50.19,50,50,0.01,128,CIFAR10,1881.1
50,50.44,50,50,0.01,128,CIFAR10,1881.1
