Round,Accuracy,Number of Clients,Rounds,Learning Rate,Batch Size,Dataset,Time Spent (s)
1,10.14,50,50,0.0001,16,CIFAR10,2710.93
2,10.86,50,50,0.0001,16,CIFAR10,2710.93
3,11.51,50,50,0.0001,16,CIFAR10,2710.93
4,12.37,50,50,0.0001,16,CIFAR10,2710.93
5,13.05,50,50,0.0001,16,CIFAR10,2710.93
6,13.9,50,50,0.0001,16,CIFAR10,2710.93
7,14.59,50,50,0.0001,16,CIFAR10,2710.93
8,15.11,50,50,0.0001,16,CIFAR10,2710.93
9,15.71,50,50,0.0001,16,CIFAR10,2710.93
10,16.11,50,50,0.0001,16,CIFAR10,2710.93
11,16.56,50,50,0.0001,16,CIFAR10,2710.93
12,16.86,50,50,0.0001,16,CIFAR10,2710.93
13,17.17,50,50,0.0001,16,CIFAR10,2710.93
14,17.49,50,50,0.0001,16,CIFAR10,2710.93
15,17.79,50,50,0.0001,16,CIFAR10,2710.93
16,17.94,50,50,0.0001,16,CIFAR10,2710.93
17,18.15,50,50,0.0001,16,CIFAR10,2710.93
18,18.55,50,50,0.0001,16,CIFAR10,2710.93
19,18.78,50,50,0.0001,16,CIFAR10,2710.93
20,19.02,50,50,0.0001,16,CIFAR10,2710.93
21,19.22,50,50,0.0001,16,CIFAR10,2710.93
22,19.52,50,50,0.0001,16,CIFAR10,2710.93
23,19.83,50,50,0.0001,16,CIFAR10,2710.93
24,19.99,50,50,0.0001,16,CIFAR10,2710.93
25,20.21,50,50,0.0001,16,CIFAR10,2710.93
26,20.35,50,50,0.0001,16,CIFAR10,2710.93
27,20.56,50,50,0.0001,16,CIFAR10,2710.93
28,20.81,50,50,0.0001,16,CIFAR10,2710.93
29,21.1,50,50,0.0001,16,CIFAR10,2710.93
30,21.35,50,50,0.0001,16,CIFAR10,2710.93
31,21.53,50,50,0.0001,16,CIFAR10,2710.93
32,21.73,50,50,0.0001,16,CIFAR10,2710.93
33,22.02,50,50,0.0001,16,CIFAR10,2710.93
34,22.1,50,50,0.0001,16,CIFAR10,2710.93
35,22.16,50,50,0.0001,16,CIFAR10,2710.93
36,22.22,50,50,0.0001,16,CIFAR10,2710.93
37,22.32,50,50,0.0001,16,CIFAR10,2710.93
38,22.52,50,50,0.0001,16,CIFAR10,2710.93
39,22.57,50,50,0.0001,16,CIFAR10,2710.93
40,22.59,50,50,0.0001,16,CIFAR10,2710.93
41,22.61,50,50,0.0001,16,CIFAR10,2710.93
42,22.7,50,50,0.0001,16,CIFAR10,2710.93
43,22.75,50,50,0.0001,16,CIFAR10,2710.93
44,22.91,50,50,0.0001,16,CIFAR10,2710.93
45,23.01,50,50,0.0001,16,CIFAR10,2710.93
46,23.07,50,50,0.0001,16,CIFAR10,2710.93
47,23.12,50,50,0.0001,16,CIFAR10,2710.93
48,23.2,50,50,0.0001,16,CIFAR10,2710.93
49,23.22,50,50,0.0001,16,CIFAR10,2710.93
50,23.23,50,50,0.0001,16,CIFAR10,2710.93
